------------------------------------------------------------
Server listening on UDP port 5001
Receiving 1470 byte datagrams
UDP buffer size:  160 KByte (default)
------------------------------------------------------------
[  4] 49.0-50.0 sec  8.61 KBytes  70.6 Kbits/sec  154.016 ms    0/    6 (0%)
[  4] 50.0-51.0 sec  10.0 KBytes  82.3 Kbits/sec  148.648 ms    0/    7 (0%)
[  4] 51.0-52.0 sec  7.18 KBytes  58.8 Kbits/sec  149.461 ms    0/    5 (0%)
[  4] 52.0-53.0 sec  10.0 KBytes  82.3 Kbits/sec  149.922 ms    1/    8 (12%)
[  4] 53.0-54.0 sec  7.18 KBytes  58.8 Kbits/sec  150.790 ms    0/    5 (0%)
[  4] 54.0-55.0 sec  10.0 KBytes  82.3 Kbits/sec  152.715 ms    0/    7 (0%)
[  4] 55.0-56.0 sec  8.61 KBytes  70.6 Kbits/sec  151.177 ms    0/    6 (0%)
[  4] 56.0-57.0 sec  8.61 KBytes  70.6 Kbits/sec  149.964 ms    0/    6 (0%)
[  4] 57.0-58.0 sec  10.0 KBytes  82.3 Kbits/sec  146.815 ms    0/    7 (0%)
[  4] 58.0-59.0 sec  8.61 KBytes  70.6 Kbits/sec  146.890 ms    0/    6 (0%)
[  4] 59.0-60.0 sec  8.61 KBytes  70.6 Kbits/sec  152.394 ms    0/    6 (0%)
